Warehouse,Product,Supplier,Stock_Level,Reorder_Level,Transport_Cost,Last_Updated
WH-B,Mouse,Supplier-Y,349.0,49,1543.04,2025-06-16
WH-A,Camera,Supplier-A,171.0,102,1440.89,2026-05-25
WH-D,Printer,Supplier-X,403.0,85,1907.78,2024-07-03
WH-B,Mouse,Supplier-A,,94,1278.95,2025-05-24
WH-E,Printer,Supplier-Y,369.0,21,1757.49,2025-05-12
WH-B,Mouse,Supplier-Y,,198,955.69,2025-12-18
WH-E,Keyboard,Supplier-X,330.0,86,1527.96,2025-04-04
WH-D,Mobile,Supplier-B,185.0,136,1661.37,2025-08-13
WH-A,Mobile,Supplier-X,105.0,139,1265.53,2024-12-28
WH-C,Keyboard,Supplier-B,258.0,18,1361.53,2025-10-05
WH-E,Mouse,Supplier-B,103.0,120,1037.23,2025-03-28
WH-B,Printer,Supplier-Z,461.0,20,1966.51,2025-01-02
WH-C,Keyboard,Supplier-Z,492.0,48,1787.7,2026-06-27
WH-A,Camera,Supplier-Z,189.0,180,1454.54,2025-07-21
WH-B,CPU,Supplier-Y,298.0,107,1560.15,2025-05-31
WH-D,Camera,Supplier-B,,126,1450.49,2025-10-13
WH-E,Camera,Supplier-Y,139.0,138,1454.56,2026-04-12
WH-D,CPU,Supplier-A,280.0,18,1639.71,2024-09-19
WH-A,Laptop,Supplier-Y,9.0,113,1200.8,2025-11-09
WH-C,Monitor,Supplier-B,159.0,118,1255.58,2026-03-07
WH-C,Printer,Supplier-Y,469.0,109,1997.48,2025-04-25
WH-C,Monitor,Supplier-A,140.0,15,1230.71,2024-12-12
WH-B,Monitor,Supplier-Y,,36,1149.98,2026-03-29
WH-B,Printer,Supplier-Y,437.0,152,1845.36,2025-06-27
WH-B,Monitor,Supplier-Y,94.0,181,1221.98,2025-02-06
WH-D,Printer,Supplier-Z,24.0,68,1258.75,2026-05-21
WH-E,Camera,Supplier-X,,189,1689.45,2026-03-28
WH-B,Monitor,Supplier-Z,303.0,159,1674.18,2026-01-14
WH-C,Laptop,Supplier-Y,414.0,89,1995.17,2024-11-25
WH-A,Printer,Supplier-A,,39,1105.02,2025-01-08
WH-D,CPU,Supplier-B,430.0,129,1913.91,2025-02-12
WH-C,CPU,Supplier-B,335.0,64,1765.61,2026-05-07
WH-D,Monitor,Supplier-Y,,176,1383.13,2025-05-07
WH-B,Laptop,Supplier-Y,440.0,42,2069.11,2025-08-02
WH-E,Mouse,Supplier-Y,113.0,32,1109.53,2025-06-25
WH-E,Speaker,Supplier-B,463.0,82,1707.36,2026-03-19
WH-D,Tablet,Supplier-X,,110,1500.24,2026-06-21
WH-E,Camera,Supplier-A,129.0,176,1349.22,2025-02-24
WH-A,Laptop,Supplier-X,461.0,91,1963.39,2026-03-20
WH-C,Monitor,Supplier-X,77.0,42,1148.44,2024-12-05
WH-B,Mobile,Supplier-B,,102,1593.72,2026-03-22
WH-E,CPU,Supplier-Z,136.0,53,1368.37,2024-07-02
WH-A,Mouse,Supplier-Y,16.0,192,813.02,2025-05-05
WH-D,Printer,Supplier-A,,39,1558.74,2025-02-12
WH-B,Keyboard,Supplier-X,,200,1338.87,2025-11-26
WH-B,Tablet,Supplier-X,418.0,74,1866.41,2025-12-11
WH-B,Mouse,Supplier-Z,,128,967.17,2024-10-24
WH-C,Speaker,Supplier-B,296.0,93,1495.66,2024-10-16
WH-E,Printer,Supplier-B,273.0,151,1623.58,2024-09-22
WH-E,Laptop,Supplier-Z,273.0,84,1738.25,2025-01-21
WH-D,Camera,Supplier-X,291.0,14,1840.0,2024-08-27
WH-B,Monitor,Supplier-B,288.0,28,1589.15,2024-07-15
WH-D,Camera,Supplier-B,294.0,160,1835.35,2024-09-07
WH-E,Speaker,Supplier-X,,118,948.98,2026-03-28
WH-A,Laptop,Supplier-Y,403.0,90,2006.95,2026-06-28
WH-D,Mobile,Supplier-Z,95.0,53,1527.56,2025-01-22
WH-C,Laptop,Supplier-Z,,71,2112.24,2026-06-03
